mky_id,cohort,mky_real_id,mky_name,mky_gender,mky_birthdate,weight,mky_drinking,mky_housing_control,mky_necropsy_start_date,mky_necropsy_start_date_comments,mky_necropsy_end_date,mky_necropsy_end_date_comments,mky_study_complete,mky_stress_model,mky_age_at_necropsy
52,INIA Rhesus 4,22215,Stryker,M,6/1/00,11.18,TRUE,FALSE,2/24/10,,,,TRUE,,9 yr 9 mo
53,INIA Rhesus 4,22427,Tonko,M,5/15/01,8.3,TRUE,FALSE,2/26/10,,,,TRUE,,8 yr 9 mo
54,INIA Rhesus 4,22517,Orestes,M,4/1/01,9.12,TRUE,FALSE,3/3/10,,,,TRUE,,8 yr 11 mo
55,INIA Rhesus 4,22570,Douglas,M,4/1/01,7.82,TRUE,FALSE,3/2/10,,,,TRUE,,8 yr 11 mo
44,INIA Rhesus 4,20336,Thaddeus,M,7/27/98,10.52,TRUE,FALSE,2/23/10,,,,TRUE,,11 yr 7 mo
146,INIA Rhesus 5,22770,Oswald,M,2/14/02,,FALSE,FALSE,5/6/10,,,,TRUE,,8 yr 2 mo
147,INIA Rhesus 5,23222,Bane,M,4/1/02,,FALSE,FALSE,5/7/10,,,,TRUE,,8 yr 1 mo
56,INIA Rhesus 5,23582,Hank,M,3/26/03,9.9,TRUE,FALSE,5/12/10,,,,TRUE,,7 yr 1 mo
57,INIA Rhesus 5,23762,Russell,M,2/1/03,8.3,TRUE,FALSE,5/11/10,,,,TRUE,,7 yr 3 mo
58,INIA Rhesus 5,23764,Trent,M,1/1/03,7.98,TRUE,FALSE,5/13/10,,,,TRUE,,7 yr 4 mo
59,INIA Rhesus 5,23773,William,M,4/1/03,8.46,TRUE,FALSE,5/13/10,,,,TRUE,,7 yr 1 mo
60,INIA Rhesus 5,23778,Ernie,M,4/15/03,9.9,TRUE,FALSE,5/11/10,,,,TRUE,,7 yr 0 mo
61,INIA Rhesus 5,23779,Bert,M,1/1/03,10.7,TRUE,FALSE,5/12/10,,,,TRUE,,7 yr 4 mo
62,INIA Rhesus 5,23784,Yuzu,M,3/1/03,10.28,TRUE,FALSE,5/14/10,,,,TRUE,,7 yr 2 mo
63,INIA Rhesus 5,23838,Tofu,M,2/15/03,9.2,TRUE,FALSE,5/14/10,,,,TRUE,,7 yr 3 mo
148,INIA Rhesus 5,24154,Sprout,M,3/11/04,,FALSE,FALSE,5/4/10,,,,TRUE,,6 yr 1 mo
149,INIA Rhesus 5,24340,Harvey,M,6/11/04,,FALSE,FALSE,5/4/10,,,,TRUE,,5 yr 10 mo
