"corrected","Monkey","Monkey_number","Freezer Name","Location of Sample","Details:","Sample Quantity:","Quantity units:",,,,,,,,
"Liver","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Liver","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Accessory Lobe)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Accessory Lobe)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Accessory Lobe)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Accessory Lobe)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Accessory Lobe)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Accessory Lobe)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Accessory Lobe)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt lower lobe)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt lower lobe)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt lower lobe)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt lower lobe)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt lower lobe)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt lower lobe)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt lower lobe)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt middle lobe)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt middle lobe)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt middle lobe)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt middle lobe)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt middle lobe)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt middle lobe)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt middle lobe)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt upper lobe)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt upper lobe)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt upper lobe)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt upper lobe)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt upper lobe)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt upper lobe)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt upper lobe)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Lt upper lobe)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Rt lower lobe)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Rt lower lobe)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Rt lower lobe)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Rt lower lobe)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Rt lower lobe)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Rt lower lobe)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Rt middle lobe)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Rt middle lobe)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Rt middle lobe)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Rt middle lobe)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Rt middle lobe)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Rt middle lobe)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lung (Rt middle lobe)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Axial)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Axial)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Axial)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Axial)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Axial)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Axial)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Axial)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Inguinal)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Inguinal)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Inguinal)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Inguinal)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Inguinal)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Inguinal)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Inguinal)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Inguinal)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Inguinal)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Inguinal)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Inguinal)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Inguinal)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Inguinal)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Inguinal)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Mesenteric)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Mesenteric)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Mesenteric)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Mesenteric)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Mesenteric)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Mesenteric)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Lymph node (Mesenteric)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Mammary Gland (lt, rt)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Mammary Gland (lt, rt)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Mammary Gland (lt, rt)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Mammary Gland (lt, rt)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Mammary Gland (lt, rt)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Mammary Gland (lt, rt)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Mammary Gland (lt, rt)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Mammary Gland (lt, rt)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Mammary Gland (lt, rt)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Mammary Gland (lt, rt)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Mammary Gland (lt, rt)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Mammary Gland (lt, rt)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Mammary Gland (lt, rt)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Mammary Gland (lt, rt)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Gastrocnemius)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Gastrocnemius)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Gastrocnemius)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Gastrocnemius)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Gastrocnemius)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Gastrocnemius)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Gastrocnemius)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Gastrocnemius)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Gastrocnemius)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Gastrocnemius)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Gastrocnemius)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Gastrocnemius)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Gastrocnemius)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Gastrocnemius)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Quadriceps)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Quadriceps)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Quadriceps)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Quadriceps)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Quadriceps)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Quadriceps)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Quadriceps)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Quadriceps)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Quadriceps)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Quadriceps)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Quadriceps)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Quadriceps)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Quadriceps)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Muscle (Quadriceps)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Femoral)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Femoral)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Femoral)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Femoral)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Femoral)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Femoral)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Femoral)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Femoral)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Femoral)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Femoral)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Femoral)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Femoral)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Femoral)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Femoral)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Sciatic)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Sciatic)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Sciatic)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Sciatic)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Sciatic)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Sciatic)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Sciatic)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Sciatic)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Sciatic)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Sciatic)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Sciatic)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Sciatic)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Sciatic)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Nerve (Sciatic)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Olfactory bulb","Ninja",28477,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Olfactory bulb","Weeza",28478,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Olfactory bulb","Magda",28480,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Olfactory bulb","Cha Cha",28481,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Olfactory bulb","Margaret",28482,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Olfactory bulb","Isis",28483,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Olfactory bulb","Rizzo",28484,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Pancreas","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Pancreas","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Pancreas","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Pancreas","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Pancreas","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Pancreas","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Pancreas","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Pituitary","Ninja",28477,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Pituitary","Weeza",28478,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Pituitary","Magda",28480,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Pituitary","Cha Cha",28481,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Pituitary","Margaret",28482,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Pituitary","Isis",28483,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Pituitary","Rizzo",28484,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Rectum","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Rectum","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Rectum","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Rectum","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Rectum","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Rectum","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Rectum","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Skin","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Skin","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Skin","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Skin","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Skin","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Skin","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Skin","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spinal Cord (Cervical)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spinal Cord (Cervical)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spinal Cord (Cervical)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spinal Cord (Cervical)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spinal Cord (Cervical)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spinal Cord (Cervical)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spinal Cord (Cervical)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spinal cord (Thoracic)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spinal cord (Thoracic)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spinal cord (Thoracic)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spinal cord (Thoracic)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spinal cord (Thoracic)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spinal cord (Thoracic)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spinal cord (Thoracic)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spleen","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spleen","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spleen","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spleen","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spleen","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spleen","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Spleen","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Stomach","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Stomach","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Stomach","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Stomach","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Stomach","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Stomach","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Stomach","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Thymus","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Thymus","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Thymus","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Thymus","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Thymus","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Thymus","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Thymus","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Thyroid","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Thyroid","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Thyroid","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Thyroid","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Thyroid","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Thyroid","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Thyroid","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Tongue","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Tongue","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Tongue","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Tongue","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Tongue","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Tongue","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Tongue","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Urine","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Urine","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Urine","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Urine","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Urine","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Urine","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Urine","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
