"corrected","Monkey","Monkey_number","Freezer Name","Location of Sample","Details:","Sample Quantity:","Quantity units:",,,,,,,,
"Area 46","Weeza",28478,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 46","Magda",28480,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 46","Cha Cha",28481,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 46","Margaret",28482,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 46","Isis",28483,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 46","Rizzo",28484,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 9","Ninja",28477,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 9","Weeza",28478,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 9","Magda",28480,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 9","Cha Cha",28481,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 9","Margaret",28482,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 9","Isis",28483,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Area 9","Rizzo",28484,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Bile","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Bile","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Bile","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Bile","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Bile","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Bile","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Bile","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Blood","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Bone Marrow (From Femur)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Bone Marrow (From Femur)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Bone Marrow (From Femur)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Bone Marrow (From Femur)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Bone Marrow (From Femur)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Bone Marrow (From Femur)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Bone Marrow (From Femur)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Cerebellum (anterior lobe)","Ninja",28477,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (anterior lobe)","Weeza",28478,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (anterior lobe)","Magda",28480,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (anterior lobe)","Cha Cha",28481,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (anterior lobe)","Margaret",28482,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (anterior lobe)","Isis",28483,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (anterior lobe)","Rizzo",28484,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (posterior lobe)","Ninja",28477,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (posterior lobe)","Weeza",28478,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (posterior lobe)","Magda",28480,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (posterior lobe)","Cha Cha",28481,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (posterior lobe)","Margaret",28482,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (posterior lobe)","Isis",28483,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (posterior lobe)","Rizzo",28484,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (vermis)","Ninja",28477,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (vermis)","Weeza",28478,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (vermis)","Magda",28480,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (vermis)","Cha Cha",28481,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (vermis)","Margaret",28482,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (vermis)","Isis",28483,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebellum (vermis)","Rizzo",28484,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cerebrospinal fluid","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Cerebrospinal fluid","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Cerebrospinal fluid","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Cerebrospinal fluid","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Cerebrospinal fluid","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Cerebrospinal fluid","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Cerebrospinal fluid","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Colon","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Colon","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Colon","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Colon","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Colon","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Colon","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Colon","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Cortex (Lateral orbital)","Ninja",28477,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cortex (Lateral orbital)","Weeza",28478,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cortex (Lateral orbital)","Magda",28480,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cortex (Lateral orbital)","Cha Cha",28481,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cortex (Lateral orbital)","Margaret",28482,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cortex (Lateral orbital)","Isis",28483,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Cortex (Lateral orbital)","Rizzo",28484,"OHSU -80 Freezer #4",5,,,,,,,,,,,
"Duodenum","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Duodenum","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Duodenum","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Duodenum","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Duodenum","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Duodenum","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Duodenum","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Esophagus","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Esophagus","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Esophagus","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Esophagus","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Esophagus","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Esophagus","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Esophagus","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Abdominal)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Abdominal)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Abdominal)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Abdominal)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Abdominal)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Abdominal)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Abdominal)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Brown)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,"#REF!"
"Fat (Brown)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Brown)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Brown)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Brown)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Brown)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Brown)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Mesenteric)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Mesenteric)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Mesenteric)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Mesenteric)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Mesenteric)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Mesenteric)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Mesenteric)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Pericardial)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Pericardial)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Pericardial)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Pericardial)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Pericardial)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Pericardial)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Pericardial)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Perigonadal)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Perigonadal)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Perigonadal)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Perigonadal)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Perigonadal)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Perigonadal)","Isis",28483,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Perigonadal)","Rizzo",28484,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Retroperitoneal)","Ninja",28477,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Retroperitoneal)","Weeza",28478,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Retroperitoneal)","Magda",28480,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Retroperitoneal)","Cha Cha",28481,"OHSU -80 Freezer #4",1,,,,,,,,,,,
"Fat (Retroperitoneal)","Margaret",28482,"OHSU -80 Freezer #4",1,,,,,,,,,,,
