mky_id,mky_gender,cohort__coh_cohort_name,mky_age_at_intox,mky_drinking_category,mtd_seconds_to_stageone_d,mtd_latency_1st_drink_d,mtd_etoh_bout_d,mtd_etoh_drink_bout_d,mtd_veh_bout_d,mtd_veh_drink_bout_d,mtd_etoh_mean_drink_length_d,mtd_etoh_median_idi_d,mtd_etoh_mean_drink_vol_d,mtd_etoh_mean_bout_length_d,mtd_pct_etoh_in_1st_bout_d,mtd_drinks_1st_bout_d,mtd_max_bout_d,mtd_max_bout_length_d,mtd_pct_max_bout_vol_total_etoh_d
10048,M,INIA Rhesus 4,3635,LD,-0.2946478601490426,-0.12539447099700105,-0.6116088975330737,1.6903208367021485,-0.003699452784737579,-1.275292614907361,0.28381132631428346,-0.6153885126349762,-0.6412280494650365,0.9912708634479995,-0.16481005202876597,0.9990375460215128,-0.39012647648542637,0.3259214710079998,0.43676120421144865
10049,M,INIA Rhesus 4,3620,HD,-0.2777151555669082,-0.17922323460075107,-0.6116088975330737,-0.02579093855178505,-1.1455498165558744,0.8691441749958649,-0.16089690548814226,2.140215092162305,-0.25614079712537974,0.46957692419582686,-0.16481005202876597,-0.06518929674891741,-0.39012647648542637,0.22222098142370822,0.43676120421144865
10051,M,INIA Rhesus 4,3432,BD,-0.3923456260578475,-0.17922323460075107,-0.6116088975330737,1.4491003060439651,0.6044124267715381,-0.623770114880996,-0.9233120853460735,-0.4222210190589653,-0.6735468600676116,0.02953776158972641,-0.16481005202876597,0.7723966443204027,-0.39012647648542637,-0.13168839995056747,0.43676120421144865
10052,M,INIA Rhesus 4,3357,LD,0.7573757462066562,-0.11193728009606352,1.2892276351555934,-0.7735745835921538,-0.38431624070844983,-1.2782507232424933,-0.2730008177602018,-0.8666070874273424,-0.35578839617164526,-0.7670227187610307,-0.29298847470050693,-0.582521789762321,1.7537461232662626,-0.7540937501339466,-1.5087359191074903
10054,M,INIA Rhesus 4,2996,BD,-0.3016953802943197,-0.17922323460075107,-0.6116088975330737,2.7126364190154018,0.04704945227175699,0.6452539021469964,-1.0024221697021694,-0.4400690774430686,-0.8126113331449182,0.6291216847148381,-0.16481005202876597,1.7742151228542953,-0.39012647648542637,0.25764807235849657,0.43676120421144865
10055,M,INIA Rhesus 4,3546,LD,0.26432416515812257,-0.04465132559137598,3.1900641678442603,-0.8957051463727348,-1.7916585614881015,0.3919593863696125,-0.7350444374686519,-0.14409238971001873,-0.6502541051660775,-0.7703814017668724,-0.2732693294454368,-0.5270933083680278,-0.39012647648542637,-0.5470216493818488,-1.256935941246708
10056,M,INIA Rhesus 4,2988,LD,-0.37047066351683805,-0.17922323460075107,-0.6116088975330737,-0.4393118482515281,-1.1962987216123688,1.4907928924095541,0.14164276137802476,0.8777304816282951,0.19554500630751373,-0.06757630122048246,-0.16481005202876597,-0.4790552911596403,-0.39012647648542637,-0.08049711047009753,0.43676120421144865
10057,M,INIA Rhesus 4,2640,BD,-0.6111904351231996,-0.04465132559137598,-0.8378989609483911,0.7538766405787137,0.7575341230626864,-0.775650940176368,0.8437300705444826,-1.0820202552945235,0.33107488243513566,-0.20858218122616853,0.012466349241945809,-0.14730556548120366,-0.39012647648542637,-0.6360847283300625,1.9269533418235802
10058,M,INIA Rhesus 4,2684,LD,-0.5159757377456823,-0.17922323460075107,-0.6116088975330737,-0.14050964253300405,-0.03948393711944592,-0.416148430697978,0.3047228667170084,-0.9507695828479372,-0.05748594854849565,-0.36688682426182523,-0.16481005202876597,-0.24637487033886518,-0.39012647648542637,-0.5101726625715932,0.43676120421144865
10059,M,INIA Rhesus 4,2656,BD,-0.4990611435337937,-0.08950862859450102,-0.6116088975330737,-0.3514386549403327,0.9161244513642336,-1.2187178813133357,0.576943181219029,-0.5569314798017234,0.7665446944569081,-0.04931225750814548,-0.16481005202876597,-0.4265008791709771,-0.39012647648542637,-0.3143394748280626,0.43676120421144865
10060,M,INIA Rhesus 5,2148,BD,-0.49807517906972437,-0.17922323460075107,-0.1363997643609069,-0.7853635568949973,0.29010999754233824,0.08792496087399708,0.5100064728012672,0.00798775769721587,0.028373717892400847,-0.5869028547963582,-0.2972132325235059,-0.7408888794603017,0.5286760662652975,-0.4587292459138474,-1.1549978399108325
10061,M,INIA Rhesus 5,2214,VHD,3.1118039932941013,-0.26893784060700116,1.2892276351555934,-0.563368121161451,-0.22925014192471532,0.13093140845191564,-0.8819518632946418,0.9195800269220501,-0.8297531968337881,-0.2930426048817608,-0.26286569567701973,-0.06518929674891741,-0.39012647648542637,0.4579444195081362,-1.0314567992605677
